loss,accuracy,group,training_group
0.6745918989181519,0.84,0,0
13.335427284240723,0.02,0,1
0.15064525604248047,0.96,1,1
5.924626350402832,0.14,0,2
11.361616134643555,0.0,1,2
0.16501456499099731,0.96,2,2
6.167903900146484,0.06,0,3
6.7034687995910645,0.0,1,3
11.015525817871094,0.04,2,3
0.011502845212817192,1.0,3,3
4.463911056518555,0.16,0,4
4.68943977355957,0.02,1,4
4.680142879486084,0.2,2,4
8.940505027770996,0.08,3,4
0.06054896488785744,0.98,4,4
3.3225643634796143,0.24,0,5
4.17397928237915,0.08,1,5
4.110600471496582,0.24,2,5
6.752498626708984,0.16,3,5
9.071249008178711,0.08,4,5
0.619977593421936,0.86,5,5
2.0384011268615723,0.44,0,6
3.6739261150360107,0.18,1,6
4.334053993225098,0.08,2,6
5.128839015960693,0.06,3,6
5.715356826782227,0.06,4,6
8.294417381286621,0.0,5,6
1.2511625289916992,0.74,6,6
0.9678263664245605,0.74,0,7
2.518592119216919,0.3,1,7
3.3226840496063232,0.18,2,7
2.7311043739318848,0.44,3,7
2.839068651199341,0.46,4,7
5.1922430992126465,0.06,5,7
9.681326866149902,0.0,6,7
0.8749658465385437,0.76,7,7
2.5887269973754883,0.3,0,8
2.146346092224121,0.34,1,8
2.761960506439209,0.4,2,8
3.02435302734375,0.3,3,8
2.5881423950195312,0.26,4,8
3.7616684436798096,0.1,5,8
4.929393291473389,0.0,6,8
6.208271026611328,0.04,7,8
1.1612253189086914,0.68,8,8
1.4056310653686523,0.68,0,9
1.564545750617981,0.58,1,9
2.540371894836426,0.32,2,9
2.4700818061828613,0.24,3,9
3.315338134765625,0.14,4,9
3.578655481338501,0.18,5,9
4.056811332702637,0.14,6,9
2.207624912261963,0.42,7,9
4.534858226776123,0.18,8,9
1.8084869384765625,0.66,9,9
