loss,accuracy,group,training_group
4.3629584312438965,0.6,0,0
2.613210439682007,0.4,0,1
1.7864679098129272,0.6,1,1
3.286996841430664,0.2,0,2
3.1332786083221436,0.4,1,2
0.08476077765226364,1.0,2,2
5.467683792114258,0.0,0,3
7.041590213775635,0.0,1,3
3.6265387535095215,0.2,2,3
0.03294435143470764,1.0,3,3
6.351362705230713,0.0,0,4
5.345775604248047,0.0,1,4
2.3845064640045166,0.4,2,4
4.60005521774292,0.2,3,4
0.25970858335494995,0.8,4,4
5.817116737365723,0.0,0,5
7.0048394203186035,0.0,1,5
7.104612827301025,0.0,2,5
5.822056770324707,0.0,3,5
5.584182262420654,0.0,4,5
0.1661282330751419,1.0,5,5
5.567593574523926,0.0,0,6
6.212766647338867,0.0,1,6
7.061379909515381,0.0,2,6
6.561064720153809,0.2,3,6
6.2507452964782715,0.0,4,6
4.001143455505371,0.2,5,6
0.8993061780929565,0.6,6,6
3.5675151348114014,0.2,0,7
7.187156677246094,0.0,1,7
6.203701496124268,0.0,2,7
5.721656799316406,0.0,3,7
5.16332483291626,0.0,4,7
5.167014122009277,0.2,5,7
5.637706756591797,0.0,6,7
0.13613547384738922,1.0,7,7
5.390758991241455,0.0,0,8
8.220763206481934,0.0,1,8
7.02142333984375,0.0,2,8
6.8637871742248535,0.2,3,8
6.117308139801025,0.0,4,8
5.975945472717285,0.0,5,8
6.766953945159912,0.0,6,8
6.4881744384765625,0.0,7,8
0.7042833566665649,0.6,8,8
5.383760452270508,0.2,0,9
8.258482933044434,0.0,1,9
7.0745134353637695,0.0,2,9
7.4500532150268555,0.0,3,9
6.311164855957031,0.0,4,9
6.663014888763428,0.2,5,9
7.533748626708984,0.0,6,9
8.094544410705566,0.0,7,9
6.239819526672363,0.0,8,9
0.4603985846042633,0.8,9,9
