original_file,start,duration,word,file,stem,lem,split
359837950_9e22ffe6c2_0.wav,1.88,0.45,ACROSS,ACROSS_1_88_359837950_9e22ffe6c2_0.wav,across,ACROSS,validation
1359101233_16c2c150e3_1.wav,2.44,0.43,ACROSS,ACROSS_2_44_1359101233_16c2c150e3_1.wav,across,ACROSS,validation
2479180530_7ebba2d8bf_3.wav,1.64,0.41,ACROSS,ACROSS_1_64_2479180530_7ebba2d8bf_3.wav,across,ACROSS,validation
2310233145_910cb5b4c8_1.wav,4.53,0.74,ACROSS,ACROSS_4_53_2310233145_910cb5b4c8_1.wav,across,ACROSS,validation
512991147_dc48e6839c_0.wav,1.48,0.47,ACROSS,ACROSS_1_48_512991147_dc48e6839c_0.wav,across,ACROSS,validation
1394620454_bf708cc501_1.wav,2.44,0.6,AREA,AREA_2_44_1394620454_bf708cc501_1.wav,area,AREA,validation
3025334206_76888792e5_2.wav,2.47,0.37,AREA,AREA_2_47_3025334206_76888792e5_2.wav,area,AREA,validation
3315250232_83e24a2d51_3.wav,4.88,0.49,AREA,AREA_4_88_3315250232_83e24a2d51_3.wav,area,AREA,validation
3602838407_bf13e49243_1.wav,2.57,0.36,AREA,AREA_2_57_3602838407_bf13e49243_1.wav,area,AREA,validation
3007214949_a4b027f8a3_0.wav,4.45,0.48,AREA,AREA_4_45_3007214949_a4b027f8a3_0.wav,area,AREA,validation
2672445419_251ce9419a_3.wav,3.2,0.51,BARS,BARS_3_2_2672445419_251ce9419a_3.wav,bar,BARS,validation
3210419174_d083a16f77_1.wav,2.46,0.51,BAR,BAR_2_46_3210419174_d083a16f77_1.wav,bar,BAR,validation
1167908324_8caab45e15_1.wav,1.32,0.43,BAR,BAR_1_32_1167908324_8caab45e15_1.wav,bar,BAR,validation
337793983_ac5b2e848e_0.wav,3.36,0.46,BAR,BAR_3_36_337793983_ac5b2e848e_0.wav,bar,BAR,validation
3713133789_f05e8daffd_4.wav,2.56,0.36,BAR,BAR_2_56_3713133789_f05e8daffd_4.wav,bar,BAR,validation
