loss,accuracy,group,training_group
0.04970847815275192,1.0,0,0
0.0024965794291347265,1.0,0,1
3.9484543800354004,0.4,1,1
0.19102142751216888,1.0,0,2
1.9143394231796265,0.6,1,2
0.6598505973815918,0.8,2,2
0.28830254077911377,0.8,0,3
1.4295600652694702,0.6,1,3
0.8707151412963867,0.8,2,3
0.1735788881778717,1.0,3,3
0.04371855407953262,1.0,0,4
1.7789596319198608,0.6,1,4
0.4188944697380066,0.8,2,4
1.0812796354293823,0.6,3,4
1.8153040409088135,0.4,4,4
0.07197991758584976,1.0,0,5
2.2447667121887207,0.6,1,5
0.5675594806671143,0.8,2,5
0.8493022918701172,0.6,3,5
2.2447025775909424,0.6,4,5
0.39747023582458496,0.8,5,5
0.0975998193025589,1.0,0,6
1.94873046875,0.6,1,6
0.2775917649269104,1.0,2,6
1.2319812774658203,0.4,3,6
2.351461887359619,0.6,4,6
0.8256258964538574,0.8,5,6
0.10094483941793442,1.0,6,6
0.1418270766735077,1.0,0,7
2.2850804328918457,0.4,1,7
0.48901909589767456,0.6,2,7
1.0288784503936768,0.6,3,7
2.531074285507202,0.4,4,7
1.250060796737671,0.4,5,7
0.8013293147087097,0.8,6,7
0.4735074043273926,0.8,7,7
0.18133652210235596,1.0,0,8
2.0788652896881104,0.6,1,8
0.31561559438705444,0.8,2,8
0.5077176094055176,1.0,3,8
2.219025135040283,0.4,4,8
1.2690904140472412,0.6,5,8
0.5711662173271179,0.8,6,8
0.9059789776802063,0.8,7,8
1.0370194911956787,0.6,8,8
0.12956714630126953,1.0,0,9
2.2506613731384277,0.4,1,9
0.19409792125225067,1.0,2,9
0.5051847696304321,1.0,3,9
2.399543285369873,0.4,4,9
1.351783037185669,0.6,5,9
0.47410184144973755,1.0,6,9
1.8712822198867798,0.4,7,9
2.2734034061431885,0.6,8,9
0.45128941535949707,0.8,9,9
