loss,accuracy,group,training_group
0.07142819464206696,1.0,0,0
0.0852048248052597,1.0,0,1
0.4664683938026428,0.9,1,1
0.07512166351079941,1.0,0,2
0.39530447125434875,0.9,1,2
0.15202008187770844,0.9,2,2
0.16556416451931,1.0,0,3
0.5151637196540833,0.9,1,3
0.3882487416267395,0.9,2,3
0.06348373740911484,1.0,3,3
0.21214258670806885,1.0,0,4
0.5693001747131348,0.9,1,4
0.7965041399002075,0.8,2,4
0.4589115083217621,1.0,3,4
0.8769076466560364,0.8,4,4
0.2212427407503128,1.0,0,5
0.5839742422103882,0.9,1,5
0.9103509783744812,0.8,2,5
0.6170402765274048,1.0,3,5
1.722341537475586,0.6,4,5
0.08721165359020233,1.0,5,5
0.2811349332332611,0.9,0,6
1.157699704170227,0.6,1,6
0.7965730428695679,0.8,2,6
0.8489333391189575,0.8,3,6
1.8916199207305908,0.4,4,6
0.5326069593429565,0.9,5,6
0.4992713928222656,0.8,6,6
0.25646427273750305,0.9,0,7
0.7767961025238037,0.8,1,7
0.6270302534103394,0.8,2,7
0.6116658449172974,0.9,3,7
1.8842912912368774,0.4,4,7
1.4159208536148071,0.7,5,7
1.8972291946411133,0.5,6,7
0.8058640360832214,0.8,7,7
0.3434132933616638,0.9,0,8
0.7526856660842896,0.7,1,8
0.8199833035469055,0.8,2,8
1.2040154933929443,0.7,3,8
1.9018007516860962,0.4,4,8
1.0960572957992554,0.7,5,8
1.6877295970916748,0.5,6,8
2.051100254058838,0.5,7,8
0.1845337450504303,1.0,8,8
0.4401980936527252,0.8,0,9
0.6738578081130981,0.7,1,9
0.8252283334732056,0.8,2,9
0.9314800500869751,0.8,3,9
1.9604711532592773,0.4,4,9
1.0874804258346558,0.7,5,9
1.5755341053009033,0.6,6,9
2.431055784225464,0.5,7,9
1.0723503828048706,0.7,8,9
0.409119188785553,0.9,9,9
